Organization,Country,ISO_Alpha3,Region,Scope,Value_Chain,Commodity,Engagements,Member_Type,Activity_Locations,Membership_Structure,Indirect_Members,Indirect_Member_Countries,Indirect_Member_Commodity,Presence_Type,Website,Source_Country_HQ,Source_Active_Engagements_Projects,Official_Source_URL,Official_Description,Official_Notes
Canada Grains Council,Canada,CAN,North America,National,Trade / Industry Association,"Grains (wheat, barley, oats, etc.)",3,Value-chain organizations (associations + companies + research/public institutions),Canada,Member-driven association (multi-segment value chain),"National commodity and sector associations representing the Canadian grain value chain, including grower groups, grain handlers, exporters, processors, and input suppliers (e.g. Grain Growers of Canada; Cereals Canada; Pulse Canada; Western Grain Elevator Association).",Canada,"Grains, oilseeds, pulses; producers; grain handling/export; processing; crop inputs",HQ,https://canadagrainscouncil.ca/,Canada,Grain trade policy advocacy; regulatory engagement; export market access initiatives,https://canadagrainscouncil.ca/about-canada-grains-council/,"Canada Grains Council (CGC) is a national, member driven organization representing Canadian grain, oilseed, pulse and special crop sectors, and we provide a unified vision on key issues to drive effective policies and meaningful change.",
Canadian Canola Growers Association (CCGA),Canada,CAN,North America,National,Producers (Farmers),Canola (Oilseeds),3,Farmers / Producer Associations,Canada,Federated (provincial associations),"Provincial canola grower associations representing approximately 43,000 Canadian canola farmers (Alberta Canola, SaskOilseeds, Manitoba Canola Growers, Ontario Canola Growers, and BC Grain Producers Association.).",Canada,Canola/oilseed production (farmers),HQ,https://www.ccga.ca/,Canada,Representation of canola farmers; Advance Payments Program; trade and sustainability advocacy,https://www.ccga.ca/about/,"Canadian Canola Growers Association is farmer-founded and farmer-led, representing approximately 40,000 canola farmers across Canada.",
CropLife International,Belgium,BEL,Europe,Global,Input suppliers / agri-technology,"Crop protection & biotech (seeds, pesticides, GM traits",2,Companies + Associations,United States; Belgium; Brazil; Argentina; Australia; India; Kenya,Hybrid (corporate + association),"National and regional crop protection associations and leading R&D companies, including Bayer; BASF; Corteva Agriscience; Syngenta Group; FMC; Sumitomo Chemical.","Global (Africa, Americas, Asia-Pacific, Europe, Middle East)","Crop protection, plant science, seeds/biotech inputs",HQ,https://croplife.org/,HQ: Belgium,Advocacy for crop protection technologies; stewardship and regulatory engagement,https://croplife.org/who-we-are/,"As a global advocate for the plant science industry, CropLife International champions innovative technologies that enable farmers to sustainably increase productivity while managing the critical challenges facing our climate and the environment.",
CropLife International,United States,USA,North America,Global,Input suppliers / agri-technology,"Crop protection & biotech (seeds, pesticides, GM traits",2,Companies + Associations,United States; Belgium; Brazil; Argentina; Australia; India; Kenya,Hybrid (corporate + association),"National and regional crop protection associations and leading R&D companies, including Bayer; BASF; Corteva Agriscience; Syngenta Group; FMC; Sumitomo Chemical.","Global (Africa, Americas, Asia-Pacific, Europe, Middle East)","Crop protection, plant science, seeds/biotech inputs",Activity,https://croplife.org/,HQ: Belgium,Advocacy for crop protection technologies; stewardship and regulatory engagement,https://croplife.org/who-we-are/,"As a global advocate for the plant science industry, CropLife International champions innovative technologies that enable farmers to sustainably increase productivity while managing the critical challenges facing our climate and the environment.",
CropLife International,Brazil,BRA,South America,Global,Input suppliers / agri-technology,"Crop protection & biotech (seeds, pesticides, GM traits",2,Companies + Associations,United States; Belgium; Brazil; Argentina; Australia; India; Kenya,Hybrid (corporate + association),"National and regional crop protection associations and leading R&D companies, including Bayer; BASF; Corteva Agriscience; Syngenta Group; FMC; Sumitomo Chemical.","Global (Africa, Americas, Asia-Pacific, Europe, Middle East)","Crop protection, plant science, seeds/biotech inputs",Activity,https://croplife.org/,HQ: Belgium,Advocacy for crop protection technologies; stewardship and regulatory engagement,https://croplife.org/who-we-are/,"As a global advocate for the plant science industry, CropLife International champions innovative technologies that enable farmers to sustainably increase productivity while managing the critical challenges facing our climate and the environment.",
CropLife International,Argentina,ARG,South America,Global,Input suppliers / agri-technology,"Crop protection & biotech (seeds, pesticides, GM traits",2,Companies + Associations,United States; Belgium; Brazil; Argentina; Australia; India; Kenya,Hybrid (corporate + association),"National and regional crop protection associations and leading R&D companies, including Bayer; BASF; Corteva Agriscience; Syngenta Group; FMC; Sumitomo Chemical.","Global (Africa, Americas, Asia-Pacific, Europe, Middle East)","Crop protection, plant science, seeds/biotech inputs",Activity,https://croplife.org/,HQ: Belgium,Advocacy for crop protection technologies; stewardship and regulatory engagement,https://croplife.org/who-we-are/,"As a global advocate for the plant science industry, CropLife International champions innovative technologies that enable farmers to sustainably increase productivity while managing the critical challenges facing our climate and the environment.",
CropLife International,Australia,AUS,Oceania,Global,Input suppliers / agri-technology,"Crop protection & biotech (seeds, pesticides, GM traits",2,Companies + Associations,United States; Belgium; Brazil; Argentina; Australia; India; Kenya,Hybrid (corporate + association),"National and regional crop protection associations and leading R&D companies, including Bayer; BASF; Corteva Agriscience; Syngenta Group; FMC; Sumitomo Chemical.","Global (Africa, Americas, Asia-Pacific, Europe, Middle East)","Crop protection, plant science, seeds/biotech inputs",Activity,https://croplife.org/,HQ: Belgium,Advocacy for crop protection technologies; stewardship and regulatory engagement,https://croplife.org/who-we-are/,"As a global advocate for the plant science industry, CropLife International champions innovative technologies that enable farmers to sustainably increase productivity while managing the critical challenges facing our climate and the environment.",
CropLife International,India,IND,Asia,Global,Input suppliers / agri-technology,"Crop protection & biotech (seeds, pesticides, GM traits",2,Companies + Associations,United States; Belgium; Brazil; Argentina; Australia; India; Kenya,Hybrid (corporate + association),"National and regional crop protection associations and leading R&D companies, including Bayer; BASF; Corteva Agriscience; Syngenta Group; FMC; Sumitomo Chemical.","Global (Africa, Americas, Asia-Pacific, Europe, Middle East)","Crop protection, plant science, seeds/biotech inputs",Activity,https://croplife.org/,HQ: Belgium,Advocacy for crop protection technologies; stewardship and regulatory engagement,https://croplife.org/who-we-are/,"As a global advocate for the plant science industry, CropLife International champions innovative technologies that enable farmers to sustainably increase productivity while managing the critical challenges facing our climate and the environment.",
CropLife International,Kenya,KEN,Africa,Global,Input suppliers / agri-technology,"Crop protection & biotech (seeds, pesticides, GM traits",2,Companies + Associations,United States; Belgium; Brazil; Argentina; Australia; India; Kenya,Hybrid (corporate + association),"National and regional crop protection associations and leading R&D companies, including Bayer; BASF; Corteva Agriscience; Syngenta Group; FMC; Sumitomo Chemical.","Global (Africa, Americas, Asia-Pacific, Europe, Middle East)","Crop protection, plant science, seeds/biotech inputs",Activity,https://croplife.org/,HQ: Belgium,Advocacy for crop protection technologies; stewardship and regulatory engagement,https://croplife.org/who-we-are/,"As a global advocate for the plant science industry, CropLife International champions innovative technologies that enable farmers to sustainably increase productivity while managing the critical challenges facing our climate and the environment.",
Global Dairy Platform (GDP),United States,USA,North America,Global,Value-chain coordination & advocacy,Dairy,3,Companies + Cooperatives + Associations,United States; New Zealand; Ireland; Netherlands; France,Corporate-led alliance,"Global dairy companies, cooperatives, processors, and associations across the dairy value chain, including Fonterra; Arla Foods; Dairy Farmers of America; Danone; Nestlé; FrieslandCampina; Lactalis; Saputo; and sector bodies such as IDF.",United States; New Zealand; India; Denmark; Netherlands; Canada; France; global,"Dairy farming, dairy processing, dairy trade and nutrition/science bodies",HQ,https://globaldairyplatform.com/,HQ: USA,Dairy sustainability initiatives; Pathways to Dairy Net Zero; nutrition and food security collaboration,https://globaldairyplatform.com/about/,"Global Dairy Platform leads the dairy sector’s collective efforts in illustrating dairy’s remarkable contribution to global food systems, healthy diets and sustainable livelihoods.",
